%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=123, 2025/07/31 19:39:6.31)
14 225  1.245841107138001917e+03 0 0 4.537697e+01 -3.453208e+00 6.920171e+00 7.114581e+01 5.668565e+01 6.510545e+01 6.943754e+01 -7.959649e+00 4.794884e+01 1.005565e+02 8.684705e+01 2.085307e+01 6.217864e+00 1.021580e+01 3.174547e-01 9.577161e+00 
15 241  1.241171997301079728e+03 0 0 1.902847e+01 1.821531e+01 5.857869e+01 5.677975e+01 7.878881e+01 7.223512e+01 5.577333e+01 -3.338864e+01 4.184992e+01 1.066168e+02 9.064017e+01 1.243062e+01 8.502845e+00 7.747271e+00 1.075019e+00 1.012246e+01 
16 257  1.235647374443073431e+03 0 0 5.193966e+01 -1.455185e+01 3.738483e+01 8.167265e+01 1.022456e+02 7.820282e+01 5.679050e+01 -1.188060e+01 6.504681e+01 1.119457e+02 1.261156e+02 8.140511e+00 7.084535e+00 9.461527e+00 3.590478e-01 1.146833e+01 
17 273  1.209864669234076018e+03 0 0 5.629782e+01 -1.102134e+01 3.444474e+01 5.732860e+01 5.630103e+01 8.404037e+01 8.336956e+01 -1.862755e+01 6.166162e+01 1.145132e+02 1.054081e+02 1.510770e+01 3.710023e+00 1.111611e+01 1.039260e+00 9.713010e+00 
18 289  1.201880462817858415e+03 0 0 8.425273e+01 -2.073874e+01 3.682552e+01 6.260022e+01 4.814335e+01 9.284775e+01 8.243934e+01 -2.107540e+01 5.624542e+01 1.019759e+02 8.133794e+01 1.108919e+01 6.632213e+00 8.497190e+00 -2.270632e-01 6.657416e+00 
19 305  1.200303923963835814e+03 0 0 7.145973e+01 -1.504830e+01 4.361806e+01 1.981412e+01 3.676279e+01 9.194893e+01 8.302715e+01 -1.245050e+01 4.268747e+01 1.011544e+02 8.481571e+01 2.342157e+01 5.089974e+00 7.414484e+00 -1.513524e-01 6.635668e+00 
20 321  1.186324111066624482e+03 0 0 9.057732e+01 -5.357117e+01 4.247313e+01 2.254806e+01 7.812207e+01 9.177156e+01 1.158733e+02 -2.313717e+01 5.340062e+01 8.005587e+01 9.123658e+01 1.289994e+01 4.365331e+00 6.662031e+00 -9.673527e-01 7.719033e+00 
21 337  1.193156451101855282e+03 0 0 5.417318e+01 -1.204674e+01 5.218780e+01 1.311642e+01 3.582861e+01 7.988736e+01 8.694660e+01 -1.141325e+01 3.717063e+01 9.659433e+01 1.210496e+02 1.382841e+01 7.269865e+00 6.470807e+00 4.480557e-01 8.740454e+00 
22 353  1.200693195604112816e+03 0 0 8.252289e+01 -1.769448e+01 4.121793e+01 3.837507e+01 4.652695e+01 9.371184e+01 9.096266e+01 -3.199228e+00 5.036038e+01 7.330109e+01 1.217358e+02 1.663048e+01 5.544220e+00 6.418135e+00 -8.789555e-01 8.418127e+00 
23 369  1.199850531522181427e+03 0 0 5.336793e+01 -1.189678e+01 3.527743e+01 2.055666e+01 3.307593e+01 6.983588e+01 9.126092e+01 -1.451685e+01 2.933730e+01 8.262212e+01 1.311970e+02 1.406101e+01 7.206239e+00 5.412336e+00 1.210166e+00 6.707965e+00 
24 385  1.207140095634659247e+03 0 0 5.823609e+01 -1.312944e+01 4.511278e+01 5.011578e+00 2.055331e+01 7.526951e+01 1.059256e+02 -1.592562e+01 5.260226e+01 1.049851e+02 1.073249e+02 2.229074e+01 4.032745e+00 6.141002e+00 8.956753e-01 7.999110e+00 
25 401  1.186298786252718628e+03 0 0 4.953805e+01 -1.409065e+00 2.683075e+01 9.012239e+00 2.162571e+01 8.058879e+01 1.034672e+02 -1.866224e+01 5.373062e+01 9.966201e+01 1.050007e+02 1.391924e+01 1.813016e+00 8.263901e+00 -1.655549e+00 8.581838e+00 
26 417  1.182839484886485934e+03 0 0 4.971997e+01 -1.184327e+01 4.426571e+01 2.058134e+00 3.317362e+01 8.621811e+01 9.195935e+01 -1.524139e+01 4.165368e+01 1.007391e+02 9.753488e+01 1.559824e+01 2.402262e+00 4.850390e+00 -7.459161e-01 8.820790e+00 
27 433  1.182718781251581277e+03 0 0 4.399901e+01 -7.226153e+00 3.521348e+01 -2.143432e+01 4.596233e+01 7.936682e+01 9.437011e+01 -6.616546e+00 4.787854e+01 7.208474e+01 7.822598e+01 1.415337e+01 4.274608e+00 4.522853e+00 6.078770e-01 5.408625e+00 
28 449  1.182655739690465452e+03 0 0 4.890578e+01 2.401538e+00 1.717891e+01 1.744432e+01 3.337783e+01 9.850266e+01 1.213301e+02 -1.006517e+01 5.091147e+01 8.994682e+01 1.108356e+02 1.615615e+01 2.439253e+00 6.579072e+00 1.443485e+00 6.389389e+00 
29 465  1.176029799962595462e+03 0 0 5.148948e+01 6.956330e+00 4.138317e+01 -2.344376e+01 3.404656e+01 1.021857e+02 1.069612e+02 -8.886233e+00 3.402985e+01 8.971714e+01 8.579828e+01 1.045233e+01 4.866284e+00 5.090859e+00 5.137178e-01 7.987089e+00 
30 481  1.177698302430181229e+03 0 0 5.335785e+01 -8.196392e+00 3.069441e+01 -9.958274e+00 5.761163e+01 9.930020e+01 9.910570e+01 -2.237591e+01 4.521514e+01 1.023487e+02 8.641707e+01 1.656052e+01 1.261483e+00 6.313416e+00 1.509633e+00 7.912581e+00 
31 497  1.177106305386494114e+03 0 0 4.363099e+01 -7.450411e+00 2.448464e+01 -2.017135e+01 3.803446e+01 9.359186e+01 9.320728e+01 -2.010867e+01 4.102898e+01 9.495837e+01 8.070638e+01 1.583960e+01 1.671180e+00 6.869219e+00 1.896540e+00 7.604435e+00 
32 513  1.175244544145265763e+03 0 0 6.353594e+01 -8.717822e+00 4.884559e+01 -1.323214e+01 3.563914e+01 8.726805e+01 9.566044e+01 -3.106313e-01 2.678066e+01 7.307505e+01 8.547759e+01 1.474252e+01 3.668285e+00 5.760386e+00 1.143232e+00 8.027307e+00 
